NO_RES,RES_GND,RES_AGE,RES_GEN,RES_NAT,RES_REL,RES_MAR,RES_EDU,RES_EMP,FAM_STA,SUM_FAM_SIZ,FAM_INC,FAM_EXP_WAT,FAM_EXP_SUM,WCM_BOI,WCM_FIL,WCM_MAC,DWP_QUA,DWP_LIM,DWP_FIN,DWP_INF,DWP_SIC,TOT_WAT_CON_1
1,1,53,1,1,1,1,2,1,2,4,25000,300,12650,1,1,2,2,2,2,2,2,2000
2,2,39,2,1,1,1,4,4,1,3,35000,1200,35200,1,1,2,1,2,1,1,1,2000
3,2,26,2,3,4,2,4,2,1,3,60000,300,41300,2,2,2,2,2,2,2,2,2050
4,2,40,1,1,1,1,3,2,2,5,17500,400,25600,1,1,2,1,1,1,1,1,1000
5,2,35,1,1,1,1,4,2,1,3,25000,310,15500,1,1,1,1,1,1,1,2,1000
6,2,34,2,1,1,2,3,4,1,1,14000,1200,7200,2,2,2,2,1,2,2,2,4500
7,1,73,1,1,1,1,3,4,1,2,10000,250,8650,1,1,2,1,1,2,1,2,1000
8,2,70,1,1,1,1,3,4,1,1,8000,150,7650,1,1,2,1,1,1,1,2,1000
9,1,37,2,1,1,1,3,4,1,3,25000,500,19500,1,2,2,2,2,1,1,2,1000
10,2,58,1,1,1,1,1,3,2,5,40000,350,24150,1,2,2,1,1,1,1,2,1000
11,2,68,1,1,1,1,2,4,1,5,30000,350,27850,1,1,2,1,1,1,2,2,1000
12,2,17,2,1,1,2,4,1,1,4,45000,350,34850,1,2,2,1,1,2,1,2,2000
13,2,36,2,3,4,2,4,2,1,4,70000,400,60400,2,2,1,2,2,2,2,2,2000
14,1,43,1,1,1,1,3,4,1,3,60000,400,34400,1,1,2,1,2,1,1,1,420
15,1,59,1,1,1,1,3,2,2,4,35000,250,26050,1,2,2,1,1,1,1,1,270
16,1,37,1,1,1,1,4,1,1,4,60000,250,42750,1,1,2,1,1,1,1,1,420
17,1,53,1,1,1,1,3,3,2,4,50000,200,48700,1,1,2,2,2,2,2,2,540
19,1,56,2,1,1,1,3,3,2,2,60000,250,48250,1,2,2,1,1,1,1,1,480
20,1,59,1,1,1,1,1,3,2,2,20000,500,17000,1,2,2,2,1,1,2,2,1290
21,1,67,1,1,1,1,3,4,1,2,20000,250,16250,1,1,2,2,1,1,1,2,150
